PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
BAYSIDE PLAYGROUND,QUEENS       ,1.21,0,0,0,0,0,0,0,0,2015,Jul,Sept
BAYVIEW PLAYGROUND,BROOKLYN     ,1.21,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRANCIS LEWIS PLAYGROUND,QUEENS       ,1.206,0,0,0,0,0,0,0,0,2015,Jul,Sept
MURRAY HILL PLAYGROUND,QUEENS       ,1.206,0,0,0,0,0,1,0,1,2015,Jul,Sept
MAGENTA PLAYGROUND,BRONX        ,1.205,0,0,1,0,0,0,0,1,2015,Jul,Sept
TIFFANY PLAYGROUND,BRONX        ,1.205,0,0,1,0,0,0,0,1,2015,Jul,Sept
MAURICE A FITZGERALD PLAYGROUND,QUEENS       ,1.201,0,0,0,0,0,0,0,0,2015,Jul,Sept
DANIEL BOONE PLAYGROUND,BRONX        ,1.2,0,0,0,0,0,0,0,0,2015,Jul,Sept
HILTON HOLIDAY GARDENS,QUEENS       ,1.2,0,0,0,0,0,0,0,0,2015,Jul,Sept
HATTIE CARTHAN PLAYGROUND,BROOKLYN     ,1.195,0,0,0,0,0,0,0,0,2015,Jul,Sept
KOREAN WAR VETERANS PLAZA,BROOKLYN     ,1.195,0,0,0,0,0,0,0,0,2015,Jul,Sept
STROUD PLAYGROUND,BROOKLYN     ,1.194,0,0,0,0,0,0,0,0,2015,Jul,Sept
TILDEN PLAYGROUND,BROOKLYN     ,1.19,0,0,0,0,0,0,0,0,2015,Jul,Sept
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,BROOKLYN     ,1.187,0,0,0,0,0,0,0,0,2015,Jul,Sept
SOUTH OXFORD PARK,BROOKLYN     ,1.187,0,0,0,0,0,0,0,0,2015,Jul,Sept
UNDERWOOD PARK,BROOKLYN     ,1.187,0,0,0,0,0,0,0,0,2015,Jul,Sept
