PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
SARATOGA PARK,BROOKLYN     ,3.21,0,0,0,0,0,0,0,0,2018,Jan,March
BILL BROWN PLAYGROUND,BROOKLYN     ,3.21,0,0,0,0,0,0,0,0,2018,Jan,March
SCARANGELLA PARK,BROOKLYN     ,3.21,0,0,0,0,0,0,0,0,2018,Jan,March
JAMAICA PLAYGROUND,QUEENS       ,3.21,0,0,0,0,0,0,0,0,2018,Jan,March
NOBLE PLAYGROUND,BRONX        ,3.21,0,0,0,0,0,0,0,0,2018,Jan,March
MARCY PLAYGROUND,BROOKLYN     ,3.2,0,0,0,0,0,0,0,0,2018,Jan,March
LYONS POOL,STATEN ISLAND,3.2,0,0,0,0,0,0,0,0,2018,Jan,March
WAYANDA PARK,QUEENS       ,3.17,0,0,0,0,0,0,0,0,2018,Jan,March
AMERICAN VETERANS MEMORIAL PIER,BROOKLYN     ,3.17,0,0,0,0,0,0,0,0,2018,Jan,March
HOLCOMBE RUCKER PARK,MANHATTAN    ,3.13,0,0,0,0,0,0,0,0,2018,Jan,March
JESSE OWENS PLAYGROUND,BROOKLYN     ,3.1,0,0,0,0,0,0,0,0,2018,Jan,March
EAST RIVER WALK,MANHATTAN    ,3.09,0,0,0,0,0,0,0,0,2018,Jan,March
PARK OF THE AMERICAS,QUEENS       ,3.08,0,0,0,0,0,0,0,0,2018,Jan,March
BROOKLYN HEIGHTS PROMENADE,BROOKLYN     ,3.04,0,0,0,0,0,0,0,0,2018,Jan,March
J.J. BYRNE PLAYGROUND,BROOKLYN     ,3.03,0,0,0,0,0,0,0,0,2018,Jan,March
HERO PARK,STATEN ISLAND,3.02,0,0,0,0,0,0,0,0,2018,Jan,March
NOSTRAND PLAYGROUND,BROOKLYN     ,3.02,0,0,0,0,0,0,0,0,2018,Jan,March
FORT INDEPENDENCE PLAYGROUND,BRONX        ,3.02,0,0,0,1,0,0,0,1,2018,Jan,March
BROWNSVILLE PLAYGROUND,BROOKLYN     ,3.02,0,0,0,0,0,0,0,0,2018,Jan,March
GRANDVIEW PLAYGROUND,STATEN ISLAND,3.01,0,0,0,0,0,0,0,0,2018,Jan,March
LAWRENCE VIRGILIO PLAYGROUND,QUEENS       ,3.01,0,0,0,0,0,0,0,0,2018,Jan,March
JACOB JOFFE FIELDS,BROOKLYN     ,2.98,0,0,0,0,0,0,0,0,2018,Jan,March
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,BROOKLYN     ,2.98,0,0,0,0,0,0,0,0,2018,Jan,March
UTOPIA PLAYGROUND,QUEENS       ,2.98,0,0,0,0,0,0,0,0,2018,Jan,March
BATH BEACH PARK,BROOKLYN     ,2.96,0,0,0,0,0,0,0,0,2018,Jan,March
GLEN OAKS OVAL,QUEENS       ,2.95,0,0,0,0,0,0,0,0,2018,Jan,March
MERRIAM PLAYGROUND,BRONX        ,2.94,0,0,0,0,0,0,0,0,2018,Jan,March
POSEIDON PLAYGROUND,BROOKLYN     ,2.94,0,0,0,0,0,0,0,0,2018,Jan,March
ROBERT E. VENABLE PARK,BROOKLYN     ,2.94,0,0,0,0,0,0,0,0,2018,Jan,March
LEFFERTS PLAYGROUND,QUEENS       ,2.94,0,0,0,0,0,0,0,0,2018,Jan,March
WALT WHITMAN PARK,BROOKLYN     ,2.91,0,0,0,0,0,0,0,0,2018,Jan,March
WESTERLEIGH PARK,STATEN ISLAND,2.89,0,0,0,0,0,0,0,0,2018,Jan,March
PETERS FIELD,QUEENS       ,2.87,0,0,0,0,0,0,0,0,2018,Jan,March
DELPHIN H. GREENE PLAYGROUND,QUEENS       ,2.86,0,0,0,0,0,0,0,0,2018,Jan,March
HOFFMAN PARK,QUEENS       ,2.86,0,0,0,0,0,0,0,0,2018,Jan,March
MARKHAM PLAYGROUND,STATEN ISLAND,2.84,0,0,0,0,0,0,0,0,2018,Jan,March
SPERANDEO BROTHERS PLAYGROUND,BROOKLYN     ,2.8,0,0,0,0,0,0,0,0,2018,Jan,March
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,BROOKLYN     ,2.78,0,0,1,0,0,0,0,1,2018,Jan,March
IRVING SQUARE PARK,BROOKLYN     ,2.76,0,0,0,0,0,0,0,0,2018,Jan,March
ST. VARTAN PARK,MANHATTAN    ,2.76,0,0,0,0,0,0,0,0,2018,Jan,March
RAVENSWOOD PLAYGROUND,QUEENS       ,2.76,0,0,0,0,0,0,0,0,2018,Jan,March
GORMAN PLAYGROUND,QUEENS       ,2.76,0,0,0,0,0,0,0,0,2018,Jan,March
LOUIS CUVILLIER PARK,MANHATTAN    ,2.75,0,0,0,0,0,0,0,0,2018,Jan,March
GRACE PLAYGROUND,BROOKLYN     ,2.74,0,0,1,0,0,1,0,2,2018,Jan,March
GREEN CENTRAL KNOLL,BROOKLYN     ,2.74,0,0,0,0,0,0,0,0,2018,Jan,March
DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.72,0,0,0,0,0,0,0,0,2018,Jan,March
HOLY COW PLAYGROUND,QUEENS       ,2.7,0,0,0,0,0,0,0,0,2018,Jan,March
BAYSIDE FIELDS,QUEENS       ,2.69,0,0,0,0,0,0,0,0,2018,Jan,March
HICKMAN PLAYGROUND,BROOKLYN     ,2.66,0,0,0,0,0,0,0,0,2018,Jan,March
ARBUTUS WOODS PARK,STATEN ISLAND,2.65,0,0,0,0,0,0,0,0,2018,Jan,March
STARS & STRIPES PLAYGROUND,BRONX        ,2.65,0,0,0,0,0,0,0,0,2018,Jan,March
P.O. SERRANO PLAYGROUND,BRONX        ,2.62,0,0,0,0,0,0,0,0,2018,Jan,March
COLEMAN PLAYGROUND,MANHATTAN    ,2.61,0,0,0,0,0,0,0,0,2018,Jan,March
MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS       ,2.6,0,0,0,0,0,0,0,0,2018,Jan,March
KATHY REILLY TRIANGLE,BROOKLYN     ,2.59,0,0,0,0,0,0,0,0,2018,Jan,March
RIVERDALE PLAYGROUND,BRONX        ,2.58,0,0,0,0,0,0,0,0,2018,Jan,March
MARIE CURIE PARK,QUEENS       ,2.55,0,0,0,0,0,0,0,0,2018,Jan,March
EDENWALD PLAYGROUND,BRONX        ,2.54,0,0,0,0,0,0,0,0,2018,Jan,March
THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.53,0,0,0,0,0,0,0,0,2018,Jan,March
MURRAY PLAYGROUND,QUEENS       ,2.52,0,0,0,0,0,0,0,0,2018,Jan,March
BATHGATE PLAYGROUND,BRONX        ,2.5,0,0,0,0,0,0,0,0,2018,Jan,March
BIG BUSH PARK,QUEENS       ,2.5,0,0,0,0,0,0,0,0,2018,Jan,March
JOSEPH RODMAN DRAKE PARK,BRONX        ,2.49,0,0,0,0,0,0,0,0,2018,Jan,March
INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.48,0,0,0,0,0,0,0,0,2018,Jan,March
ALLEY PARK,QUEENS       ,2.45,0,0,0,0,0,0,0,0,2018,Jan,March
FREDERICK JOHNSON PLAYGROUND,MANHATTAN    ,2.45,0,0,0,0,0,0,0,0,2018,Jan,March
DAMROSCH PARK,MANHATTAN    ,2.44,0,0,0,0,0,0,0,0,2018,Jan,March
ASSER LEVY PLAYGROUND,MANHATTAN    ,2.44,0,0,1,0,0,0,0,1,2018,Jan,March
HARRY MAZE PLAYGROUND,BROOKLYN     ,2.43,0,0,0,0,0,0,0,0,2018,Jan,March
LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.41,0,0,0,0,0,0,0,0,2018,Jan,March
DUTCH KILLS PLAYGROUND,QUEENS       ,2.4,0,0,0,0,0,0,0,0,2018,Jan,March
KOSCIUSZKO POOL,BROOKLYN     ,2.39,0,0,0,0,0,0,0,0,2018,Jan,March
WEST PLAYGROUND,BROOKLYN     ,2.39,0,0,0,0,0,0,0,0,2018,Jan,March
HOMECREST PLAYGROUND,BROOKLYN     ,2.37,0,0,0,0,0,0,0,0,2018,Jan,March
DE MATTI PLAYGROUND,STATEN ISLAND,2.34,0,0,0,0,0,0,0,0,2018,Jan,March
POE PARK,BRONX        ,2.33,0,0,0,0,0,0,0,0,2018,Jan,March
OVERLOOK PARK,QUEENS       ,2.33,0,0,0,0,0,0,0,0,2018,Jan,March
BARUCH PLAYGROUND,MANHATTAN    ,2.32,0,0,0,0,0,0,0,0,2018,Jan,March
TRIBORO PLAZA,MANHATTAN    ,2.3,0,0,0,0,0,0,0,0,2018,Jan,March
RAILROAD PLAYGROUND,BROOKLYN     ,2.3,0,0,0,0,0,0,0,0,2018,Jan,March
FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.3,0,0,0,0,0,0,0,0,2018,Jan,March
OSBORN PLAYGROUND,BROOKLYN     ,2.3,0,0,0,0,0,0,0,0,2018,Jan,March
POWER PLAYGROUND,BROOKLYN     ,2.3,0,0,0,0,0,0,0,0,2018,Jan,March
MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.29,0,0,0,0,0,0,0,0,2018,Jan,March
MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.29,0,0,0,0,0,0,0,0,2018,Jan,March
P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.29,0,0,0,0,0,0,0,0,2018,Jan,March
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,STATEN ISLAND,2.29,0,0,0,0,0,0,0,0,2018,Jan,March
CENTURY PLAYGROUND,BROOKLYN     ,2.28,0,0,0,0,0,0,0,0,2018,Jan,March
SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.26,0,0,0,0,0,0,0,0,2018,Jan,March
NORTH SHORE ESPLANADE,STATEN ISLAND,2.25,0,0,0,0,0,0,0,0,2018,Jan,March
FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.25,0,0,0,0,0,0,0,0,2018,Jan,March
VLEIGH PLAYGROUND,QUEENS       ,2.24,0,0,1,0,0,0,0,1,2018,Jan,March
LAREDO AVENUE PARCEL,STATEN ISLAND,2.22,0,0,0,0,0,0,0,0,2018,Jan,March
FREDERICK B. JUDGE PLAYGROUND,QUEENS       ,2.22,0,0,0,0,0,0,0,0,2018,Jan,March
BELMONT PLAYGROUND BRONX,BRONX        ,2.21,0,0,0,0,0,0,0,0,2018,Jan,March
MAHONEY PLAYGROUND,STATEN ISLAND,2.21,0,0,1,0,0,0,0,1,2018,Jan,March
HOYT PLAYGROUND,QUEENS       ,2.2,0,0,0,0,0,0,0,0,2018,Jan,March
ASTORIA HEIGHTS PLAYGROUND,QUEENS       ,2.2,0,0,0,0,0,0,0,0,2018,Jan,March
ANCHORAGE PLAZA,BROOKLYN     ,2.2,0,0,0,0,0,0,0,0,2018,Jan,March
LORETO PLAYGROUND,BRONX        ,2.18,0,0,0,0,0,0,0,0,2018,Jan,March
HARDING PARK,BRONX        ,2.16,0,0,0,0,0,0,0,0,2018,Jan,March
WASHINGTON MARKET PARK,MANHATTAN    ,2.15,0,0,0,0,0,0,0,0,2018,Jan,March
VIDALIA PARK,BRONX        ,2.14,0,0,1,0,0,0,0,1,2018,Jan,March
UNNAMED PARK ON E 122ND STREET,MANHATTAN    ,2.13,0,0,0,0,0,0,0,0,2018,Jan,March
BRIDGE PARK BROOKLYN,BROOKLYN     ,2.12,0,0,0,0,0,0,0,0,2018,Jan,March
HAMILTON METZ FIELD,BROOKLYN     ,2.11,0,0,0,0,0,0,0,0,2018,Jan,March
CARDOZO PLAYGROUND,QUEENS       ,2.1,0,0,0,0,0,0,0,0,2018,Jan,March
CENTREVILLE PLAYGROUND,QUEENS       ,2.1,0,0,0,0,0,0,0,0,2018,Jan,March
REDFERN PLAYGROUND,QUEENS       ,2.09,0,0,0,0,0,0,0,0,2018,Jan,March
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.09,0,0,0,0,0,0,0,0,2018,Jan,March
STORY PLAYGROUND,BRONX        ,2.08,0,0,0,0,0,0,0,0,2018,Jan,March
SAKURA PARK,MANHATTAN    ,2.07,0,0,0,0,0,0,0,0,2018,Jan,March
LINNAEUS PARK,QUEENS       ,2.07,0,0,0,0,0,0,0,0,2018,Jan,March
CASTLEWOOD PLAYGROUND,QUEENS       ,2.06,0,0,0,0,0,0,0,0,2018,Jan,March
SKYLINE PLAYGROUND,STATEN ISLAND,2.06,0,0,0,0,0,0,0,0,2018,Jan,March
CLOVE'S TAIL,STATEN ISLAND,2.06,0,0,0,0,0,0,0,0,2018,Jan,March
DANIEL M. O'CONNELL PLAYGROUND,QUEENS       ,2.04,0,0,0,0,0,0,0,0,2018,Jan,March
CHALLENGE PLAYGROUND,QUEENS       ,2.04,0,0,0,0,0,0,0,0,2018,Jan,March
TORSNEY PLAYGROUND,QUEENS       ,2.03,0,0,0,0,0,0,0,0,2018,Jan,March
LOCUST MANOR PLAYGROUND,QUEENS       ,2,0,0,0,0,0,0,0,0,2018,Jan,March
PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2,0,0,0,0,0,0,0,0,2018,Jan,March
FULTON PARK,BROOKLYN     ,1.99,0,0,0,0,0,0,0,0,2018,Jan,March
ANDREW HASWELL GREEN PARK,MANHATTAN    ,1.98,0,0,0,0,0,0,0,0,2018,Jan,March
MOORE HOMESTEAD PLAYGROUND,QUEENS       ,1.98,0,0,0,0,0,0,0,0,2018,Jan,March
MCLAUGHLIN PARK,BROOKLYN     ,1.98,0,0,0,0,0,0,0,0,2018,Jan,March
COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.97,0,0,0,0,0,0,0,0,2018,Jan,March
SUMNER PLAYGROUND,BROOKLYN     ,1.97,0,0,0,0,0,0,0,0,2018,Jan,March
ROSEMARY'S PLAYGROUND,QUEENS       ,1.97,0,0,0,0,0,0,0,0,2018,Jan,March
SAUL WEPRIN PLAYGROUND,QUEENS       ,1.96,0,0,0,0,0,0,0,0,2018,Jan,March
FREDERICK DOUGLASS PLAYGROUND,MANHATTAN    ,1.95,0,0,0,0,0,0,0,0,2018,Jan,March
UNNAMED PARK ON HEMPSTEAD AVENUE,QUEENS       ,1.94,0,0,0,0,0,0,0,0,2018,Jan,March
BRIDGE PARK 3,BROOKLYN     ,1.93,0,0,0,0,0,0,0,0,2018,Jan,March
THE PAINTER'S PLAYGROUND,QUEENS       ,1.93,0,0,0,0,0,0,0,0,2018,Jan,March
ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.93,0,0,0,0,0,0,0,0,2018,Jan,March
TERRACE PLAYGROUND,STATEN ISLAND,1.92,0,0,0,0,0,0,0,0,2018,Jan,March
TRAVERS PARK,QUEENS       ,1.92,0,0,0,0,0,0,0,0,2018,Jan,March
BUFANO PARK,BRONX        ,1.9,0,0,0,0,0,0,0,0,2018,Jan,March
DIMATTINA PLAYGROUND,BROOKLYN     ,1.9,0,0,0,0,0,0,0,0,2018,Jan,March
HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.89,0,0,0,0,0,0,0,0,2018,Jan,March
GORMAN PARK,MANHATTAN    ,1.89,0,0,0,0,0,0,0,0,2018,Jan,March
WILLIS PLAYGROUND,BRONX        ,1.88,0,0,0,0,0,0,0,0,2018,Jan,March
WEST BRONX RECREATION CENTER,BRONX        ,1.88,0,0,0,0,0,0,0,0,2018,Jan,March
THOMAS PAINE PARK,MANHATTAN    ,1.88,0,0,0,0,0,0,0,0,2018,Jan,March
CARROLL PARK,BROOKLYN     ,1.87,0,0,0,0,0,0,0,0,2018,Jan,March
COLGATE CLOSE,BRONX        ,1.87,0,0,0,0,0,0,0,0,2018,Jan,March
LONDON PLANETREE PLAYGROUND,QUEENS       ,1.84,0,0,0,0,0,0,0,0,2018,Jan,March
SUTTER BALLFIELDS,BROOKLYN     ,1.84,0,0,0,0,0,0,0,0,2018,Jan,March
TAAFFE PLAYGROUND,BROOKLYN     ,1.82,0,0,0,0,0,0,0,0,2018,Jan,March
GIVAN SQUARE,BRONX        ,1.82,0,0,0,0,0,0,0,0,2018,Jan,March
THOMAS BOYLAND PARK,BROOKLYN     ,1.82,0,0,0,0,0,0,0,0,2018,Jan,March
HAROLD ICKES PLAYGROUND,BROOKLYN     ,1.82,0,0,0,0,0,0,0,0,2018,Jan,March
REV J POLITE PLAYGROUND,BRONX        ,1.82,0,0,0,0,0,0,0,0,2018,Jan,March
MAPES BALLFIELD,BRONX        ,1.81,0,0,0,0,0,0,0,0,2018,Jan,March
MIDLAND MALLS,QUEENS       ,1.8,0,0,0,0,0,0,0,0,2018,Jan,March
CEDAR PLAYGROUND,BRONX        ,1.8,0,0,0,0,0,0,0,0,2018,Jan,March
CONCH PLAYGROUND,QUEENS       ,1.8,0,0,0,0,0,0,0,0,2018,Jan,March
BENNETT PARK,MANHATTAN    ,1.8,0,0,0,0,0,0,0,0,2018,Jan,March
RAYMOND BUSH PLAYGROUND,BROOKLYN     ,1.8,0,0,0,0,0,0,0,0,2018,Jan,March
PLAYGROUND 52 LII,BRONX        ,1.79,0,0,0,0,0,0,0,0,2018,Jan,March
DR. GREEN PLAYGROUND,BROOKLYN     ,1.79,0,0,0,0,0,0,0,0,2018,Jan,March
BRUST PARK,BRONX        ,1.79,0,0,0,0,0,0,0,0,2018,Jan,March
LAURELTON PLAYGROUND,QUEENS       ,1.79,0,0,0,0,0,0,0,0,2018,Jan,March
SIMEONE PARK,QUEENS       ,1.78,0,0,0,0,0,0,0,0,2018,Jan,March
MANOR PARK,STATEN ISLAND,1.78,0,0,0,0,0,0,0,0,2018,Jan,March
TAPPEN PARK,STATEN ISLAND,1.78,0,0,0,0,0,0,0,0,2018,Jan,March
LUNA PARK,BROOKLYN     ,1.76,0,0,0,0,0,0,0,0,2018,Jan,March
ALFRED E. SMITH PLAYGROUND,MANHATTAN    ,1.75,0,0,0,0,0,0,0,0,2018,Jan,March
ELECTRIC PLAYGROUND,QUEENS       ,1.75,0,0,0,0,0,0,0,0,2018,Jan,March
YELLOWSTONE PARK,QUEENS       ,1.75,0,0,0,0,0,0,0,0,2018,Jan,March
CORONA GOLF PLAYGROUND,QUEENS       ,1.72,0,0,0,0,0,0,0,0,2018,Jan,March
WILSON PLAYGROUND,BROOKLYN     ,1.72,0,0,0,0,0,0,0,0,2018,Jan,March
NORTHERN PLAYGROUND,QUEENS       ,1.72,0,0,1,0,0,0,0,1,2018,Jan,March
BARTEL-PRITCHARD SQUARE,BROOKLYN     ,1.71,0,0,0,0,0,0,0,0,2018,Jan,March
DOUGHBOY PLAZA,QUEENS       ,1.71,0,0,0,0,0,0,0,0,2018,Jan,March
CASTLE HILL LITTLE LEAGUE FIELD,BRONX        ,1.71,0,0,0,0,0,0,0,0,2018,Jan,March
GRAND FERRY PARK,BROOKLYN     ,1.7,0,0,0,0,0,0,0,0,2018,Jan,March
HAPPY WARRIOR PLAYGROUND,MANHATTAN    ,1.7,0,0,0,0,0,0,0,0,2018,Jan,March
ALLEN MALL ONE,MANHATTAN    ,1.7,0,0,0,0,0,0,0,0,2018,Jan,March
PLAYGROUND ONE TWENTY FIVE CXXV,MANHATTAN    ,1.69,0,0,0,0,0,0,0,0,2018,Jan,March
STAR SPANGLED PLAYGROUND,BROOKLYN     ,1.69,0,0,0,0,0,0,0,0,2018,Jan,March
PATTERSON PLAYGROUND,BRONX        ,1.68,0,0,0,0,0,0,0,0,2018,Jan,March
MOUNT EDEN MALLS,BRONX        ,1.68,0,0,0,0,0,0,0,0,2018,Jan,March
MIDLAND PLAYGROUND,STATEN ISLAND,1.68,0,0,0,0,0,0,0,0,2018,Jan,March
ADAM CLAYTON POWELL JR. MALLS,MANHATTAN    ,1.68,0,0,0,0,0,0,0,0,2018,Jan,March
BANNEKER PLAYGROUND,BROOKLYN     ,1.67,0,0,1,0,0,0,0,1,2018,Jan,March
JAMES J WALKER PARK,MANHATTAN    ,1.67,0,0,0,0,0,0,0,0,2018,Jan,March
WHITESTONE PLAYGROUND,QUEENS       ,1.66,0,0,0,0,0,0,0,0,2018,Jan,March
THURSBY BASIN PARK,QUEENS       ,1.66,0,0,0,0,0,0,0,0,2018,Jan,March
EQUITY PARK,QUEENS       ,1.66,0,0,0,0,0,0,0,0,2018,Jan,March
BELL MALLS,QUEENS       ,1.65,0,0,0,0,0,0,0,0,2018,Jan,March
LEIF ERICSON FIELDS,BROOKLYN     ,1.65,0,0,0,0,0,0,0,0,2018,Jan,March
NEHEMIAH PARK,BROOKLYN     ,1.65,0,0,0,0,0,0,0,0,2018,Jan,March
MARBLE HILL PLAYGROUND,BRONX        ,1.65,0,0,0,0,0,0,0,0,2018,Jan,March
WAGNER HOUSES POOL,MANHATTAN    ,1.64,0,0,0,0,0,0,0,0,2018,Jan,March
HARLEM LANE PLAYGROUND,MANHATTAN    ,1.64,0,0,0,0,0,0,0,0,2018,Jan,March
CROWLEY PLAYGROUND,QUEENS       ,1.63,0,0,0,0,0,0,0,0,2018,Jan,March
BURNS PLAYGROUND,BRONX        ,1.62,0,0,0,0,0,0,0,0,2018,Jan,March
100% PLAYGROUND,BROOKLYN     ,1.62,0,0,0,0,0,0,0,0,2018,Jan,March
JACKIE ROBINSON PARK BROOKLYN,BROOKLYN     ,1.61,0,0,0,0,0,0,0,0,2018,Jan,March
IDA COURT,STATEN ISLAND,1.6,0,0,0,0,0,0,0,0,2018,Jan,March
JENNIFER'S PLAYGROUND,STATEN ISLAND,1.6,0,0,0,0,0,0,0,0,2018,Jan,March
REAL GOOD PARK,QUEENS       ,1.6,0,0,0,0,0,0,0,0,2018,Jan,March
ALLERTON PLAYGROUND,BRONX        ,1.6,0,0,0,0,0,0,0,0,2018,Jan,March
OCEAN HILL PLAYGROUND,BROOKLYN     ,1.6,0,0,0,0,0,0,0,0,2018,Jan,March
BELLEVUE SOUTH PARK,MANHATTAN    ,1.59,0,0,0,0,0,0,0,0,2018,Jan,March
DAG HAMMARSKJOLD PLAZA,MANHATTAN    ,1.59,0,0,0,0,0,0,0,0,2018,Jan,March
MAZZEI PLAYGROUND,BRONX        ,1.59,0,0,0,0,0,0,0,0,2018,Jan,March
KOLBERT PLAYGROUND,BROOKLYN     ,1.58,0,0,0,0,0,0,0,0,2018,Jan,March
POOR RICHARD'S PLAYGROUND,MANHATTAN    ,1.58,0,0,0,0,0,0,0,0,2018,Jan,March
OLMSTED-BEIL HOUSE PARK,STATEN ISLAND,1.58,0,0,0,0,0,0,0,0,2018,Jan,March
JOAN OF ARC PARK,MANHATTAN    ,1.58,0,0,0,0,0,0,0,0,2018,Jan,March
TAYLOR PLAYGROUND,BRONX        ,1.58,0,0,0,0,0,0,0,0,2018,Jan,March
HARMONY PARK,BROOKLYN     ,1.56,0,0,0,0,0,0,0,0,2018,Jan,March
BRIARWOOD PLAYGROUND,QUEENS       ,1.56,0,0,0,0,0,0,0,0,2018,Jan,March
CLINTONVILLE PLAYGROUND,QUEENS       ,1.55,0,0,0,0,0,0,0,0,2018,Jan,March
FLATBUSH MALLS,BROOKLYN     ,1.55,0,0,0,0,0,0,0,0,2018,Jan,March
WASHINGTON PARK BROOKLYN,BROOKLYN     ,1.55,0,0,0,0,0,0,0,0,2018,Jan,March
JOHN HANCOCK PLAYGROUND,BROOKLYN     ,1.55,0,0,0,0,0,0,0,0,2018,Jan,March
FRANK D. O'CONNOR PLAYGROUND,QUEENS       ,1.54,0,0,0,0,0,0,0,0,2018,Jan,March
OLD TOWN PLAYGROUND,STATEN ISLAND,1.53,0,0,0,0,0,0,0,0,2018,Jan,March
HUGUENOT PONDS PARK,STATEN ISLAND,1.53,0,0,0,0,0,0,0,0,2018,Jan,March
REIFF PLAYGROUND,QUEENS       ,1.53,0,0,0,0,0,0,0,0,2018,Jan,March
RUSSELL SAGE PLAYGROUND,QUEENS       ,1.53,0,0,0,0,0,0,0,0,2018,Jan,March
ROGER MORRIS PARK,MANHATTAN    ,1.52,0,0,0,0,0,0,0,0,2018,Jan,March
BROAD CHANNEL PARK,QUEENS       ,1.52,0,0,0,0,0,0,0,0,2018,Jan,March
JOHN ALLEN PAYNE PARK,BROOKLYN     ,1.51,0,0,0,0,0,0,0,0,2018,Jan,March
SPUYTEN DUYVIL PLAYGROUND,BRONX        ,1.51,0,0,0,0,0,0,0,0,2018,Jan,March
BULOVA PARK,QUEENS       ,1.5,0,0,0,0,0,0,0,0,2018,Jan,March
DRY DOCK PLAYGROUND,MANHATTAN    ,1.5,0,0,0,0,0,0,0,0,2018,Jan,March
GOLCONDA PLAYGROUND,BROOKLYN     ,1.5,0,0,1,0,0,0,0,1,2018,Jan,March
DECATUR PLAYGROUND,BROOKLYN     ,1.5,0,0,0,0,0,0,0,0,2018,Jan,March
MAPLE GROVE PARK,QUEENS       ,1.5,0,0,0,0,0,0,0,0,2018,Jan,March
UNNAMED PARK ON RIVERSIDE DRIVE,MANHATTAN    ,1.49,0,0,0,0,0,0,0,0,2018,Jan,March
MARX BROTHERS PLAYGROUND,MANHATTAN    ,1.49,0,0,0,0,0,0,0,0,2018,Jan,March
BREVOORT PLAYGROUND,BROOKLYN     ,1.49,0,0,0,0,0,0,0,0,2018,Jan,March
PLAYGROUND SIXTY TWO LXII,QUEENS       ,1.48,0,0,0,0,0,0,0,0,2018,Jan,March
TALL OAK PLAYGROUND,QUEENS       ,1.48,0,0,0,0,0,0,0,0,2018,Jan,March
FRONTERA PARK,QUEENS       ,1.47,0,0,0,0,0,0,0,0,2018,Jan,March
COLDEN PLAYGROUND,QUEENS       ,1.47,0,0,0,0,0,0,0,0,2018,Jan,March
LUTHER GULICK PLAYGROUND,MANHATTAN    ,1.45,0,0,0,0,0,0,0,0,2018,Jan,March
PULASKI PARK,BRONX        ,1.45,0,0,0,0,0,0,0,0,2018,Jan,March
BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.44,0,0,0,0,0,0,0,0,2018,Jan,March
DUNBAR PLAYGROUND,BRONX        ,1.44,0,0,0,0,0,0,0,0,2018,Jan,March
PLAYGROUND TWENTY ONE,QUEENS       ,1.44,0,0,0,0,0,0,0,0,2018,Jan,March
WOODS PLAYGROUND,BROOKLYN     ,1.44,0,0,0,0,0,0,0,0,2018,Jan,March
PROSPECT PLAYGROUND,BRONX        ,1.44,0,0,0,0,0,0,0,0,2018,Jan,March
GLENWOOD PLAYGROUND,BROOKLYN     ,1.43,0,0,0,0,0,0,0,0,2018,Jan,March
SHELTERING ARMS PLAYGROUND,MANHATTAN    ,1.43,0,0,0,0,0,0,0,0,2018,Jan,March
ALMEDA PLAYGROUND,QUEENS       ,1.43,0,0,0,0,0,0,0,0,2018,Jan,March
GAETA PARK,STATEN ISLAND,1.43,0,0,0,0,0,0,0,0,2018,Jan,March
MALL FORTY TWO XLII,QUEENS       ,1.43,0,0,0,0,0,0,0,0,2018,Jan,March
NORELLI-HARGREAVES PLAYGROUND,QUEENS       ,1.43,0,0,0,0,0,0,0,0,2018,Jan,March
BILDERSEE PLAYGROUND,BROOKLYN     ,1.42,0,0,0,0,0,0,0,0,2018,Jan,March
PULASKI PLAYGROUND,BROOKLYN     ,1.42,0,0,0,0,0,0,0,0,2018,Jan,March
MACDONALD PARK,QUEENS       ,1.42,0,0,0,0,0,0,0,0,2018,Jan,March
OWEN F. DOLEN PARK,BRONX        ,1.4,0,0,0,0,0,0,0,0,2018,Jan,March
VAN DYKE PLAYGROUND,BROOKLYN     ,1.4,0,0,0,0,0,0,0,0,2018,Jan,March
WILLIAMSBRIDGE SQUARE,BRONX        ,1.4,0,0,0,0,0,0,0,0,2018,Jan,March
PEOPLE'S PARK,BRONX        ,1.39,0,0,0,0,0,0,0,0,2018,Jan,March
